,EspnId,Name,Util,P,SP,Espn_proj,OF,3B,SS,1B,2B,C,RP
57,33618,Raisel Iglesias,False,True,False,501.0,False,False,False,False,False,False,True
58,37498,Pete Alonso,True,False,False,571.0,False,False,False,True,False,False,False
59,41610,Jarren Duran,True,False,False,589.0,True,False,False,False,False,False,False
60,41044,Julio Rodriguez,True,False,False,564.0,True,False,False,False,False,False,False
61,32685,Max Fried,False,True,True,528.0,False,False,False,False,False,False,False
62,34982,Austin Riley,True,False,False,553.0,False,True,False,False,False,False,False
63,35066,Josh Naylor,True,False,False,487.0,False,False,False,True,False,False,False
64,4872587,Yoshinobu Yamamoto,False,True,True,500.0,False,False,False,False,False,False,False
65,5000950,Ryan Walker,False,True,False,431.0,False,False,False,False,False,False,True
66,4917694,Elly De La Cruz,True,False,False,652.0,False,False,True,False,False,False,False
67,42450,Joe Ryan,False,True,True,480.0,False,False,False,False,False,False,False
68,31261,Nolan Arenado,True,False,False,448.0,False,True,False,False,False,False,False
69,5134630,Shota Imanaga,False,True,True,488.0,False,False,False,False,False,False,False
70,4781491,Yainer Diaz,True,False,False,444.0,False,False,False,False,False,True,False
71,33783,Ozzie Albies,True,False,False,486.0,False,False,False,False,True,False,False
72,4719324,Wyatt Langford,True,False,False,504.0,True,False,False,False,False,False,False
73,41773,Brendan Donovan,True,False,False,469.0,True,False,False,False,True,False,False
74,41216,Logan Webb,False,True,True,522.0,False,False,False,False,False,False,False
75,41169,Alec Bohm,True,False,False,448.0,False,True,False,False,False,False,False
76,41219,Nico Hoerner,True,False,False,448.0,False,False,False,False,True,False,False
77,3107919,Bailey Ober,False,True,True,499.0,False,False,False,False,False,False,False
78,34945,Ian Happ,True,False,False,545.0,True,False,False,False,False,False,False
79,33190,Tyler Glasnow,False,True,True,462.0,False,False,False,False,False,False,False
80,33712,Kyle Schwarber,True,False,False,608.0,False,False,False,False,False,False,False
81,4905859,Felix Bautista,False,True,False,479.0,False,False,False,False,False,False,True
82,40939,Andres Munoz,False,True,False,467.0,False,False,False,False,False,False,True
83,4109109,Vinnie Pasquantino,True,False,False,448.0,False,False,False,True,False,False,False
84,39825,Freddy Peralta,False,True,True,478.0,False,False,False,False,False,False,False
85,31127,Salvador Perez,True,False,False,414.0,False,False,False,True,False,True,False
86,39706,Isaac Paredes,True,False,False,481.0,False,True,False,False,False,False,False
87,4345278,Tanner Bibee,False,True,True,489.0,False,False,False,False,False,False,False
88,42470,Michael Harris II,True,False,False,466.0,True,False,False,False,False,False,False
