NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Jay Jackson,,RP,,FA,,,-39.7,74.0,34.3,2.47,-304.098,0.0
Anthony Molina,COL,RP,,FA,,,-11.74,45.0,33.26,2.09,-305.13800000000003,0.0
Dylan Covey,ATL,RP,,FA,,,-14.78,48.0,33.22,2.7,-305.178,0.0
Elvis Alvarado,ATH,RP,,FA,,,-7.89,41.0,33.11,2.41,-305.288,0.0
Joey Lucchesi,SFG,SP/RP,,FA,,,-8.2,41.0,32.8,2.51,-305.598,0.0
Michael Flynn,TBR,RP,,FA,,,-27.31,60.0,32.69,2.83,-305.708,0.0
John Curtiss,ARI,RP,,FA,,,32.46,0.0,32.46,1.96,-305.93800000000005,0.0
Chase Shugart,PIT,RP,,FA,,,-19.01,51.0,31.99,2.2,-306.408,0.0
Dominic Leone,,RP,,FA,,,-57.49,89.0,31.51,2.15,-306.88800000000003,0.0
Huascar Ynoa,MIN,SP/RP,,FA,1,$1.00,-11.58,43.0,31.42,2.61,-306.978,0.0
Justin Hagenman,NYM,RP,,FA,,,-27.85,59.0,31.15,2.58,-307.24800000000005,0.0
Vinny Nittoli,MIL,RP,,FA,,,-48.27,79.0,30.73,2.69,-307.668,0.0
Amir Garrett,TOR,RP,,FA,,,-53.29,84.0,30.71,2.29,-307.68800000000005,0.0
Dan Altavilla,CHW,RP,,FA,,,30.41,0.0,30.41,1.89,-307.988,0.0
Keynan Middleton,,RP,,FA,,,-59.62,90.0,30.38,2.7,-308.01800000000003,0.0
Jose Urena,NYM,SP/RP,,FA,,,-17.74,48.0,30.26,2.66,-308.13800000000003,0.0
Zach Penrod,BOS,SP/RP,,FA,,,-14.77,45.0,30.23,2.19,-308.168,0.0
Matt Bowman,BAL,RP,,FA,,,-50.95,81.0,30.05,2.45,-308.348,0.0
Burch Smith,PIT,RP,,FA,,,-81.15,111.0,29.85,2.54,-308.548,0.0
